Car_id,Name,Gender,Annual Income
C_CND_000001,Geraldine,Male,"$13,500 "
C_CND_000002,Gia,Male,"$1,480,000 "
C_CND_000003,Gianna,Male,"$1,035,000 "
C_CND_000004,Giselle,Male,"$13,500 "
C_CND_000005,Grace,Male,"$1,465,000 "
C_CND_000006,Guadalupe,Male,"$850,000 "
C_CND_000007,Hailey,Male,"$1,600,000 "
C_CND_000008,Graham,Male,"$13,500 "
C_CND_000009,Naomi,Male,"$815,000 "
C_CND_000010,Grayson,Female,"$13,500 "
C_CND_000011,Gregory,Male,"$13,500 "
C_CND_000012,Amar'E,Male,"$13,500 "
C_CND_000013,Griffin,Male,"$885,000 "
C_CND_000014,Harrison,Male,"$13,500 "
C_CND_000015,Zainab,Male,"$722,000 "
C_CND_000016,Zara,Male,"$746,000 "
C_CND_000017,Zoe,Female,"$535,000 "
C_CND_000018,Zoey,Female,"$570,000 "
C_CND_000019,Aaliyah,Male,"$685,000 "
C_CND_000020,Abigail,Male,"$455,000 "
C_CND_000021,Adrianna,Male,"$13,500 "
C_CND_000022,Joshua,Male,"$2,500,000 "
C_CND_000023,Marcus,Male,"$585,000 "
C_CND_000024,Arthur,Male,"$920,000 "
C_CND_000025,Lizzie,Male,"$672,000 "
C_CND_000026,Florian,Male,"$801,250 "
C_CND_000027,Cassandre,Female,"$820,000 "
C_CND_000028,Syrielle,Male,"$791,000 "
C_CND_000029,Sloane,Male,"$13,500 "
C_CND_000030,Sofia,Male,"$1,020,000 "
C_CND_000031,Sophia,Male,"$210,000 "
C_CND_000032,Sophie,Male,"$750,000 "
C_CND_000033,Stella,Male,"$635,000 "
C_CND_000034,Suri,Male,"$675,000 "
C_CND_000035,Sury,Male,"$880,000 "
C_CND_000036,Haley,Male,"$13,500 "
C_CND_000037,Hannah,Male,"$13,500 "
C_CND_000038,Haylee,Male,"$13,500 "
C_CND_000039,Hayley,Male,"$941,000 "
C_CND_000040,Harry,Female,"$13,500 "
C_CND_000041,Henry,Male,"$13,500 "
C_CND_000042,Hersh,Female,"$13,500 "
C_CND_000043,Hershel,Male,"$967,500 "
C_CND_000044,Aicha,Male,"$600,000 "
C_CND_000045,Aisha,Male,"$575,000 "
C_CND_000046,Aissatou,Male,"$566,000 "
C_CND_000047,Alana,Male,"$1,250,000 "
C_CND_000048,Chloe,Male,"$730,000 "
C_CND_000049,Valentine,Male,"$4,060,000 "
C_CND_000050,Aurore,Male,"$13,500 "
C_CND_000051,Nikita,Male,"$1,180,000 "
C_CND_000052,Justine,Male,"$1,360,000 "
C_CND_000053,Sylvia,Female,"$640,000 "
C_CND_000054,Chloe,Male,"$615,000 "
C_CND_000055,Tamar,Male,"$520,000 "
C_CND_000056,Hazel,Male,"$1,876,000 "
C_CND_000057,Heaven,Male,"$13,500 "
C_CND_000058,Heidi,Male,"$13,500 "
C_CND_000059,Hershy,Male,"$890,000 "
C_CND_000060,Hudson,Male,"$1,800,000 "
C_CND_000061,Amare,Male,"$1,330,000 "
C_CND_000062,Alexandria,Male,"$393,000 "
C_CND_000063,Alexis,Male,"$440,000 "
C_CND_000064,Alyssa,Female,"$280,000 "
C_CND_000065,Coline,Male,"$1,151,000 "
C_CND_000066,Annaelle,Male,"$1,650,000 "
C_CND_000067,Anais,Male,"$13,500 "
C_CND_000068,Taylor,Male,"$895,000 "
C_CND_000069,Tessa,Female,"$660,000 "
C_CND_000070,Toby,Male,"$13,500 "
C_CND_000071,Heidy,Male,"$1,636,000 "
C_CND_000072,Helen,Female,"$1,000,000 "
C_CND_000073,Imani,Female,"$745,000 "
C_CND_000074,Ingrid,Male,"$300,000 "
C_CND_000075,Irene,Male,"$1,097,000 "
C_CND_000076,Iris,Female,"$542,000 "
C_CND_000077,Hunter,Male,"$1,200,000 "
C_CND_000078,James,Male,"$490,000 "
C_CND_000079,Ilan,Male,"$410,000 "
C_CND_000080,Isaac,Male,"$930,000 "
C_CND_000081,Aaron,Male,"$480,000 "
C_CND_000082,Israel,Female,"$1,360,000 "
C_CND_000083,Amara,Male,"$2,200,000 "
C_CND_000084,Amaya,Female,"$1,100,000 "
C_CND_000085,Amelia,Male,"$13,500 "
C_CND_000086,Amia,Male,"$1,700,000 "
C_CND_000087,Amina,Male,"$1,908,000 "
C_CND_000088,Aminata,Male,"$13,500 "
C_CND_000089,Alizee,Male,"$13,500 "
C_CND_000090,Caroline,Male,"$2,550,000 "
C_CND_000091,Wadia,Male,"$1,245,000 "
C_CND_000092,Mauricio,Male,"$13,500 "
C_CND_000093,Maximilian,Male,"$1,115,000 "
C_CND_000094,Elisa,Male,"$13,500 "
C_CND_000095,Tzipora,Male,"$2,110,000 "
C_CND_000096,Tziporah,Female,"$13,500 "
C_CND_000097,Tzippy,Male,"$1,050,000 "
C_CND_000098,Tzivia,Male,"$13,500 "
C_CND_000099,Valentina,Female,"$13,500 "
C_CND_000100,Valerie,Male,"$320,000 "
C_CND_000101,Isabel,Male,"$13,500 "
C_CND_000102,Isabela,Female,"$760,000 "
C_CND_000103,Ivan,Male,"$1,390,000 "
C_CND_000104,Abel,Male,"$659,000 "
C_CND_000105,Amira,Male,"$1,330,000 "
C_CND_000106,Amirah,Male,"$13,500 "
C_CND_000107,Mathias,Female,"$13,500 "
C_CND_000108,Noel,Male,"$1,362,000 "
C_CND_000109,Vanessa,Male,"$480,000 "
C_CND_000110,Vera,Female,"$365,000 "
C_CND_000111,Isabella,Female,"$481,000 "
C_CND_000112,Isabelle,Male,"$700,000 "
C_CND_000113,Isis,Male,"$1,350,000 "
C_CND_000114,Itzel,Male,"$750,000 "
C_CND_000115,Yadiel,Male,"$451,000 "
C_CND_000116,Joseph,Female,"$650,000 "
C_CND_000117,Jake,Male,"$700,000 "
C_CND_000118,James,Female,"$13,500 "
C_CND_000119,Amiya,Female,"$1,220,000 "
C_CND_000120,Amiyah,Male,"$1,300,000 "
C_CND_000121,Angelina,Male,"$470,000 "
